2020-09-07 | 12:00:48.799 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | Starting Sprint1Application on yeongsamnoui-MacBookPro.local with PID 1055 (/Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1/build/classes/java/main started by yeongsamno in /Users/yeongsamno/Desktop/com/soma/recorder/backend/sprint1)
2020-09-07 | 12:00:48.827 | restartedMain        |  INFO | c.s.s.Sprint1Application  | ID:          | The following profiles are active: real-db,oauth,jwt,aws,local
2020-09-07 | 12:00:48.872 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-07 | 12:00:48.872 | restartedMain        |  INFO | ertyDefaultsPostProcessor | ID:          | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-07 | 12:00:50.182 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-09-07 | 12:00:50.276 | restartedMain        |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 86ms. Found 5 JPA repository interfaces.
2020-09-07 | 12:00:50.722 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@63170185' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:00:50.730 | restartedMain        |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-07 | 12:00:51.132 | restartedMain        |  INFO | s.b.w.e.t.TomcatWebServer | ID:          | Tomcat initialized with port(s): 8080 (http)
2020-09-07 | 12:00:51.147 | restartedMain        |  INFO | o.a.c.h.Http11NioProtocol | ID:          | Initializing ProtocolHandler ["http-nio-8080"]
2020-09-07 | 12:00:51.156 | restartedMain        |  INFO | o.a.c.c.StandardService   | ID:          | Starting service [Tomcat]
2020-09-07 | 12:00:51.157 | restartedMain        |  INFO | o.a.c.core.StandardEngine | ID:          | Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-09-07 | 12:00:51.256 | restartedMain        |  INFO | o.a.c.c.C.[.[.[/]         | ID:          | Initializing Spring embedded WebApplicationContext
2020-09-07 | 12:00:51.256 | restartedMain        |  INFO | o.s.w.c.ContextLoader     | ID:          | Root WebApplicationContext: initialization completed in 2384 ms
2020-09-07 | 12:00:51.866 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2020-09-07 | 12:00:52.356 | restartedMain        |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
